Year,Stage,HomeTeamName,AwayTeamName,HomeTeamGoals,AwayTeamGoals,WinConditions,home_rank,home_points,home_conf,away_rank,away_points,away_conf,home_win,rank_diff
1994,Group A,Colombia,Romania,1,3,,17,53.0,CONMEBOL,11,57.0,UEFA,0,-6
1994,Group A,Romania,Switzerland,1,4,,11,57.0,UEFA,7,58.0,UEFA,0,-4
1994,Group A,Switzerland,Colombia,0,2,,7,58.0,UEFA,17,53.0,CONMEBOL,0,10
1994,Group A,USA,Colombia,2,1,,23,48.0,CONCACAF,17,53.0,CONMEBOL,1,-6
1994,Group A,USA,Romania,0,1,,23,48.0,CONCACAF,11,57.0,UEFA,0,-12
1994,Group B,Brazil,Cameroon,3,0,,1,67.0,CONMEBOL,31,44.0,CAF,1,30
1994,Group B,Brazil,Russia,2,0,,1,67.0,CONMEBOL,13,54.0,UEFA,1,12
1994,Group B,Russia,Cameroon,6,1,,13,54.0,UEFA,31,44.0,CAF,1,18
1994,Group B,Sweden,Russia,3,1,,3,61.0,UEFA,13,54.0,UEFA,1,10
1994,Group C,Bolivia,Spain,1,3,,44,37.0,CONMEBOL,2,62.0,UEFA,0,-42
1994,Group C,Germany,Bolivia,1,0,,5,61.0,UEFA,44,37.0,CONMEBOL,1,39
1994,Group C,Germany,Korea Republic,3,2,,5,61.0,UEFA,35,41.0,AFC,1,30
1994,Group D,Argentina,Bulgaria,0,2,,10,57.0,CONMEBOL,16,54.0,UEFA,0,6
1994,Group D,Argentina,Greece,4,0,,10,57.0,CONMEBOL,28,45.0,UEFA,1,18
1994,Group D,Argentina,Nigeria,2,1,,10,57.0,CONMEBOL,12,54.0,CAF,1,2
1994,Group D,Bulgaria,Greece,4,0,,16,54.0,UEFA,28,45.0,UEFA,1,12
1994,Group D,Greece,Nigeria,0,2,,28,45.0,UEFA,12,54.0,CAF,0,-16
1994,Group D,Nigeria,Bulgaria,3,0,,12,54.0,CAF,16,54.0,UEFA,1,4
1994,Group E,Italy,Norway,1,0,,4,61.0,UEFA,8,58.0,UEFA,1,4
1994,Group E,Italy,Republic of Ireland,0,1,,4,61.0,UEFA,9,58.0,UEFA,0,5
1994,Group E,Mexico,Republic of Ireland,2,1,,15,54.0,CONCACAF,9,58.0,UEFA,1,-6
1994,Group E,Norway,Mexico,1,0,,8,58.0,UEFA,15,54.0,CONCACAF,1,7
1994,Group F,Belgium,Morocco,1,0,,24,47.0,UEFA,33,43.0,CAF,1,9
1994,Group F,Belgium,Netherlands,1,0,,24,47.0,UEFA,6,60.0,UEFA,1,-18
1994,Group F,Belgium,Saudi Arabia,0,1,,24,47.0,UEFA,27,45.0,AFC,0,3
1994,Group F,Morocco,Netherlands,1,2,,33,43.0,CAF,6,60.0,UEFA,0,-27
1994,Group F,Netherlands,Saudi Arabia,2,1,,6,60.0,UEFA,27,45.0,AFC,1,21
1994,Group F,Saudi Arabia,Morocco,2,1,,27,45.0,AFC,33,43.0,CAF,1,6
1994,Match for third place,Sweden,Bulgaria,4,0,,3,61.0,UEFA,16,54.0,UEFA,1,13
1994,Quarter-finals,Bulgaria,Germany,2,1,,16,54.0,UEFA,5,61.0,UEFA,1,-11
1994,Quarter-finals,Italy,Spain,2,1,,4,61.0,UEFA,2,62.0,UEFA,1,-2
1994,Quarter-finals,Netherlands,Brazil,2,3,,6,60.0,UEFA,1,67.0,CONMEBOL,0,-5
1994,Round of 16,Brazil,USA,1,0,,1,67.0,CONMEBOL,23,48.0,CONCACAF,1,22
1994,Round of 16,Germany,Belgium,3,2,,5,61.0,UEFA,24,47.0,UEFA,1,19
1994,Round of 16,Netherlands,Republic of Ireland,2,0,,6,60.0,UEFA,9,58.0,UEFA,1,3
