match_number,HomeTeamName,AwayTeamName,home_fifa_code,away_fifa_code,group,kickoff_at,match_label,home_rank,home_points,home_conf,away_rank,away_points,away_conf,rank_diff
1,Mexico,South Africa,MEX,RSA,A,2026-06-11 15:00:00-06,Group A,12.0,1665.59,CONCACAF,63.0,1368.25,CAF,51.0
2,South Korea,Winner UEFA Playoff D,KOR,UEPD,A,2026-06-11 22:00:00-06,Group A,,,,,,,
3,Canada,Winner UEFA Playoff A,CAN,UEPA,B,2026-06-12 15:00:00-04,Group B,43.0,1458.58,CONCACAF,,,,
4,USA,Paraguay,USA,PAR,D,2026-06-12 21:00:00-07,Group D,11.0,1674.48,CONCACAF,49.0,1442.64,CONMEBOL,38.0
5,Qatar,Switzerland,QAT,SUI,B,2026-06-13 15:00:00-07,Group B,59.0,1395.57,AFC,13.0,1661.12,UEFA,-46.0
6,Brazil,Morocco,BRA,MAR,C,2026-06-13 18:00:00-04,Group C,3.0,1828.27,CONMEBOL,14.0,1655.5,CAF,11.0
7,Haiti,Scotland,HAI,SCO,C,2026-06-13 21:00:00-04,Group C,87.0,1272.64,CONCACAF,30.0,1520.24,UEFA,-57.0
8,Australia,Winner UEFA Playoff C,AUS,UEPC,D,2026-06-14 00:00:00-07,Group D,27.0,1530.45,AFC,,,,
9,Germany,Curaçao,GER,CUR,E,2026-06-14 13:00:00-05,Group E,15.0,1636.32,UEFA,88.0,1267.87,CONCACAF,73.0
10,Netherlands,Japan,NED,JPN,F,2026-06-14 16:00:00-05,Group F,7.0,1731.23,UEFA,20.0,1595.96,AFC,13.0
11,Côte d'Ivoire,Ecuador,CIV,ECU,E,2026-06-14 19:00:00-04,Group E,52.0,1433.38,CAF,40.0,1486.47,CONMEBOL,-12.0
12,Winner UEFA Playoff B,Tunisia,UEPB,TUN,F,2026-06-14 22:00:00-06,Group F,,,,31.0,1516.66,CAF,
13,Spain,Cabo Verde,ESP,CPV,H,2026-06-15 12:00:00-04,Group H,10.0,1703.45,UEFA,66.0,1354.65,CAF,56.0
14,Belgium,Egypt,BEL,EGY,G,2026-06-15 15:00:00-07,Group G,5.0,1788.55,UEFA,34.0,1509.89,CAF,29.0
15,Saudi Arabia,Uruguay,KSA,URU,H,2026-06-15 18:00:00-04,Group H,54.0,1421.46,AFC,16.0,1633.13,CONMEBOL,-38.0
16,IR Iran,New Zealand,IRN,NZL,G,2026-06-15 21:00:00-07,Group G,22.0,1556.59,AFC,103.0,1199.04,OFC,81.0
17,France,Senegal,FRA,SEN,I,2026-06-16 15:00:00-04,Group I,2.0,1843.54,UEFA,18.0,1612.61,CAF,16.0
18,Winner FIFA Playoff 2,Norway,FP02,NOR,I,2026-06-16 18:00:00-04,Group I,,,,44.0,1458.47,UEFA,
19,Argentina,Algeria,ARG,ALG,J,2026-06-16 21:00:00-05,Group J,1.0,1843.73,CONMEBOL,33.0,1511.23,CAF,32.0
20,Austria,Jordan,AUT,JOR,J,2026-06-17 00:00:00-07,Group J,29.0,1528.06,UEFA,82.0,1296.26,AFC,53.0
21,Portugal,Winner FIFA Playoff 1,POR,FP01,K,2026-06-17 13:00:00-05,Group K,9.0,1718.25,UEFA,,,,
22,England,Croatia,ENG,CRO,L,2026-06-17 16:00:00-05,Group L,4.0,1797.39,UEFA,6.0,1742.55,UEFA,2.0
23,Ghana,Panama,GHA,PAN,L,2026-06-17 19:00:00-04,Group L,60.0,1391.13,CAF,45.0,1453.94,CONCACAF,-15.0
24,Uzbekistan,Colombia,UZB,COL,K,2026-06-17 22:00:00-06,Group K,74.0,1327.58,AFC,17.0,1624.91,CONMEBOL,-57.0
25,Winner UEFA Playoff D,South Africa,UEPD,RSA,A,2026-06-18 12:00:00-04,Group A,,,,63.0,1368.25,CAF,
26,Switzerland,Winner UEFA Playoff A,SUI,UEPA,B,2026-06-18 15:00:00-07,Group B,13.0,1661.12,UEFA,,,,
27,Canada,Qatar,CAN,QAT,B,2026-06-18 18:00:00-07,Group B,43.0,1458.58,CONCACAF,59.0,1395.57,AFC,16.0
28,Mexico,South Korea,MEX,KOR,A,2026-06-18 21:00:00-06,Group A,12.0,1665.59,CONCACAF,,,,
29,USA,Australia,USA,AUS,D,2026-06-19 15:00:00-07,Group D,11.0,1674.48,CONCACAF,27.0,1530.45,AFC,16.0
30,Scotland,Morocco,SCO,MAR,C,2026-06-19 18:00:00-04,Group C,30.0,1520.24,UEFA,14.0,1655.5,CAF,-16.0
31,Brazil,Haiti,BRA,HAI,C,2026-06-19 21:00:00-04,Group C,3.0,1828.27,CONMEBOL,87.0,1272.64,CONCACAF,84.0
32,Winner UEFA Playoff C,Paraguay,UEPC,PAR,D,2026-06-20 00:00:00-07,Group D,,,,49.0,1442.64,CONMEBOL,
33,Netherlands,Winner UEFA Playoff B,NED,UEPB,F,2026-06-20 13:00:00-05,Group F,7.0,1731.23,UEFA,,,,
34,Germany,Côte d'Ivoire,GER,CIV,E,2026-06-20 16:00:00-04,Group E,15.0,1636.32,UEFA,52.0,1433.38,CAF,37.0
35,Ecuador,Curaçao,ECU,CUR,E,2026-06-20 20:00:00-05,Group E,40.0,1486.47,CONMEBOL,88.0,1267.87,CONCACAF,48.0
36,Tunisia,Japan,TUN,JPN,F,2026-06-21 00:00:00-06,Group F,31.0,1516.66,CAF,20.0,1595.96,AFC,-11.0
37,Spain,Saudi Arabia,ESP,KSA,H,2026-06-21 12:00:00-04,Group H,10.0,1703.45,UEFA,54.0,1421.46,AFC,44.0
38,Belgium,IR Iran,BEL,IRN,G,2026-06-21 15:00:00-07,Group G,5.0,1788.55,UEFA,22.0,1556.59,AFC,17.0
39,Uruguay,Cabo Verde,URU,CPV,H,2026-06-21 18:00:00-04,Group H,16.0,1633.13,CONMEBOL,66.0,1354.65,CAF,50.0
40,New Zealand,Egypt,NZL,EGY,G,2026-06-21 21:00:00-07,Group G,103.0,1199.04,OFC,34.0,1509.89,CAF,-69.0
41,Argentina,Austria,ARG,AUT,J,2026-06-22 13:00:00-05,Group J,1.0,1843.73,CONMEBOL,29.0,1528.06,UEFA,28.0
42,France,Winner FIFA Playoff 2,FRA,FP02,I,2026-06-22 17:00:00-04,Group I,2.0,1843.54,UEFA,,,,
43,Norway,Senegal,NOR,SEN,I,2026-06-22 20:00:00-04,Group I,44.0,1458.47,UEFA,18.0,1612.61,CAF,-26.0
44,Jordan,Algeria,JOR,ALG,J,2026-06-22 23:00:00-07,Group J,82.0,1296.26,AFC,33.0,1511.23,CAF,-49.0
45,Portugal,Uzbekistan,POR,UZB,K,2026-06-23 13:00:00-05,Group K,9.0,1718.25,UEFA,74.0,1327.58,AFC,65.0
46,England,Ghana,ENG,GHA,L,2026-06-23 16:00:00-04,Group L,4.0,1797.39,UEFA,60.0,1391.13,CAF,56.0
47,Panama,Croatia,PAN,CRO,L,2026-06-23 19:00:00-04,Group L,45.0,1453.94,CONCACAF,6.0,1742.55,UEFA,-39.0
48,Colombia,Winner FIFA Playoff 1,COL,FP01,K,2026-06-23 22:00:00-06,Group K,17.0,1624.91,CONMEBOL,,,,
49,Switzerland,Canada,SUI,CAN,B,2026-06-24 15:00:00-07,Group B,13.0,1661.12,UEFA,43.0,1458.58,CONCACAF,30.0
50,Winner UEFA Playoff A,Qatar,UEPA,QAT,B,2026-06-24 15:00:00-07,Group B,,,,59.0,1395.57,AFC,
51,Scotland,Brazil,SCO,BRA,C,2026-06-24 18:00:00-04,Group C,30.0,1520.24,UEFA,3.0,1828.27,CONMEBOL,-27.0
52,Morocco,Haiti,MAR,HAI,C,2026-06-24 18:00:00-04,Group C,14.0,1655.5,CAF,87.0,1272.64,CONCACAF,73.0
53,Winner UEFA Playoff D,Mexico,UEPD,MEX,A,2026-06-24 21:00:00-06,Group A,,,,12.0,1665.59,CONCACAF,
54,South Africa,South Korea,RSA,KOR,A,2026-06-24 21:00:00-06,Group A,63.0,1368.25,CAF,,,,
55,Curaçao,Côte d'Ivoire,CUR,CIV,E,2026-06-25 16:00:00-04,Group E,88.0,1267.87,CONCACAF,52.0,1433.38,CAF,-36.0
56,Ecuador,Germany,ECU,GER,E,2026-06-25 16:00:00-04,Group E,40.0,1486.47,CONMEBOL,15.0,1636.32,UEFA,-25.0
57,Japan,Winner UEFA Playoff B,JPN,UEPB,F,2026-06-25 19:00:00-05,Group F,20.0,1595.96,AFC,,,,
58,Tunisia,Netherlands,TUN,NED,F,2026-06-25 19:00:00-05,Group F,31.0,1516.66,CAF,7.0,1731.23,UEFA,-24.0
59,Winner UEFA Playoff C,USA,UEPC,USA,D,2026-06-25 22:00:00-07,Group D,,,,11.0,1674.48,CONCACAF,
60,Paraguay,Australia,PAR,AUS,D,2026-06-25 22:00:00-07,Group D,49.0,1442.64,CONMEBOL,27.0,1530.45,AFC,-22.0
61,Norway,France,NOR,FRA,I,2026-06-26 15:00:00-04,Group I,44.0,1458.47,UEFA,2.0,1843.54,UEFA,-42.0
62,Senegal,Winner FIFA Playoff 2,SEN,FP02,I,2026-06-26 15:00:00-04,Group I,18.0,1612.61,CAF,,,,
63,Cabo Verde,Saudi Arabia,CPV,KSA,H,2026-06-26 20:00:00-05,Group H,66.0,1354.65,CAF,54.0,1421.46,AFC,-12.0
64,Uruguay,Spain,URU,ESP,H,2026-06-26 20:00:00-06,Group H,16.0,1633.13,CONMEBOL,10.0,1703.45,UEFA,-6.0
65,Egypt,IR Iran,EGY,IRN,G,2026-06-26 23:00:00-07,Group G,34.0,1509.89,CAF,22.0,1556.59,AFC,-12.0
66,New Zealand,Belgium,NZL,BEL,G,2026-06-26 23:00:00-07,Group G,103.0,1199.04,OFC,5.0,1788.55,UEFA,-98.0
67,Panama,England,PAN,ENG,L,2026-06-27 17:00:00-04,Group L,45.0,1453.94,CONCACAF,4.0,1797.39,UEFA,-41.0
68,Croatia,Ghana,CRO,GHA,L,2026-06-27 17:00:00-04,Group L,6.0,1742.55,UEFA,60.0,1391.13,CAF,54.0
69,Colombia,Portugal,COL,POR,K,2026-06-27 19:30:00-04,Group K,17.0,1624.91,CONMEBOL,9.0,1718.25,UEFA,-8.0
70,Winner FIFA Playoff 1,Uzbekistan,FP01,UZB,K,2026-06-27 19:30:00-04,Group K,,,,74.0,1327.58,AFC,
71,Algeria,Austria,ALG,AUT,J,2026-06-27 22:00:00-05,Group J,33.0,1511.23,CAF,29.0,1528.06,UEFA,-4.0
72,Jordan,Argentina,JOR,ARG,J,2026-06-27 22:00:00-05,Group J,82.0,1296.26,AFC,1.0,1843.73,CONMEBOL,-81.0
